state,county_name,office,district,candidate,magnitude,party,party_detailed
CALIFORNIA,SAN FRANCISCO,US HOUSE,012,SHAHID BUTTAR,1,DEM,DEMOCRAT
CALIFORNIA,SAN FRANCISCO,US HOUSE,014,JACKIE SPEIER,1,DEM,DEMOCRAT
CALIFORNIA,SAN FRANCISCO,US HOUSE,014,NA,1,NA,NA
CALIFORNIA,SAN FRANCISCO,US HOUSE,014,RAN S. PETEL,1,REP,REPUBLICAN
CALIFORNIA,SAN FRANCISCO,STATE SENATE,011,JACKIE FIELDER,1,DEM,DEMOCRAT
CALIFORNIA,SAN FRANCISCO,STATE SENATE,011,NA,1,NA,NA
CALIFORNIA,SAN FRANCISCO,STATE SENATE,011,SCOTT WIENER,1,DEM,DEMOCRAT
CALIFORNIA,SAN FRANCISCO,STATE HOUSE,017,DAVID CHIU,1,DEM,DEMOCRAT
CALIFORNIA,SAN FRANCISCO,STATE HOUSE,017,NA,1,LIB,LIB
CALIFORNIA,SAN FRANCISCO,STATE HOUSE,017,STARCHILD,1,LBT,LIBERTARIAN
CALIFORNIA,SAN FRANCISCO,STATE HOUSE,019,JOHN P. MCDONNELL,1,REP,REPUBLICAN
CALIFORNIA,SAN FRANCISCO,STATE HOUSE,019,NA,1,NA,NA
CALIFORNIA,SAN FRANCISCO,STATE HOUSE,019,PHIL TING,1,DEM,DEMOCRAT
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,JOSEPH KISHORE,1,,
CALIFORNIA,SAN LUIS OBISPO,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,SAN LUIS OBISPO,US HOUSE,024,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN LUIS OBISPO,US HOUSE,024,ANDY CALDWELL,1,REP,REPUBLICAN
CALIFORNIA,SAN LUIS OBISPO,US HOUSE,024,SALUD CARBAJAL,1,DEM,DEMOCRAT
CALIFORNIA,SAN LUIS OBISPO,STATE SENATE,017,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN LUIS OBISPO,STATE SENATE,017,JOHN LAIRD,1,DEM,DEMOCRAT
CALIFORNIA,SAN LUIS OBISPO,STATE SENATE,017,VICKI NOHRDEN,1,REP,REPUBLICAN
CALIFORNIA,SAN LUIS OBISPO,STATE HOUSE,035,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN LUIS OBISPO,STATE HOUSE,035,DAWN ADDIS,1,DEM,DEMOCRAT
CALIFORNIA,SAN LUIS OBISPO,STATE HOUSE,035,JORDAN CUNNINGHAM,1,REP,REPUBLICAN
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,JOSEPH KISHORE,1,,
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,BROCK PIERCE,1,,
CALIFORNIA,SAN MATEO,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,SAN MATEO,US HOUSE,014,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN MATEO,US HOUSE,014,RAN S. PETEL,1,REP,REPUBLICAN
CALIFORNIA,SAN MATEO,US HOUSE,014,JACKIE SPEIER,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,US HOUSE,018,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN MATEO,US HOUSE,018,ANNA G. ESHOO,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,US HOUSE,018,RISHI KUMAR,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,STATE SENATE,011,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN MATEO,STATE SENATE,011,JACKIE FIELDER,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,STATE SENATE,011,SCOTT WIENER,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,STATE SENATE,013,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN MATEO,STATE SENATE,013,ALEXANDER GLEW,1,REP,REPUBLICAN
CALIFORNIA,SAN MATEO,STATE SENATE,013,JOSH BECKER,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,STATE HOUSE,019,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN MATEO,STATE HOUSE,019,PHIL TING,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,STATE HOUSE,019,JOHN P. MCDONNELL,1,REP,REPUBLICAN
CALIFORNIA,SAN MATEO,STATE HOUSE,022,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN MATEO,STATE HOUSE,022,MARK GILHAM,1,REP,REPUBLICAN
CALIFORNIA,SAN MATEO,STATE HOUSE,022,KEVIN MULLIN,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,STATE HOUSE,024,UNDERVOTE?,1,,undervote
CALIFORNIA,SAN MATEO,STATE HOUSE,024,MARC BERMAN,1,DEM,DEMOCRAT
CALIFORNIA,SAN MATEO,STATE HOUSE,024,PETER OHTAKI,1,REP,REPUBLICAN
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,WRITE-IN,1,,
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,JOSEPH KISHORE,1,,
CALIFORNIA,SANTA BARBARA,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,SANTA BARBARA,US HOUSE,024,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA BARBARA,US HOUSE,024,ANDY CALDWELL,1,REP,REPUBLICAN
CALIFORNIA,SANTA BARBARA,US HOUSE,024,SALUD CARBAJAL,1,DEM,DEMOCRAT
CALIFORNIA,SANTA BARBARA,STATE SENATE,019,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA BARBARA,STATE SENATE,019,S. MONIQUE LIMAN,1,DEM,DEMOCRAT
CALIFORNIA,SANTA BARBARA,STATE SENATE,019,GARY J. MICHAELS,1,REP,REPUBLICAN
CALIFORNIA,SANTA BARBARA,STATE HOUSE,035,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA BARBARA,STATE HOUSE,035,DAWN ADDIS,1,DEM,DEMOCRAT
CALIFORNIA,SANTA BARBARA,STATE HOUSE,035,JORDAN CUNNINGHAM,1,REP,REPUBLICAN
CALIFORNIA,SANTA BARBARA,STATE HOUSE,037,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA BARBARA,STATE HOUSE,037,STEVE BENNETT,1,DEM,DEMOCRAT
CALIFORNIA,SANTA BARBARA,STATE HOUSE,037,CHARLES W. COLE,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,JOSEPH KISHORE,1,,
CALIFORNIA,SANTA CLARA,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,SANTA CLARA,US HOUSE,017,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,US HOUSE,017,RITESH TANDON,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,US HOUSE,017,RO KHANNA,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,US HOUSE,018,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,US HOUSE,018,ANNA G. ESHOO,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,US HOUSE,018,RISHI KUMAR,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,US HOUSE,019,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,US HOUSE,019,JUSTIN JAMES AGUILERA,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,US HOUSE,019,ZOE LOFGREN,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,US HOUSE,020,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,US HOUSE,020,JEFF GORMAN,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,US HOUSE,020,JIMMY PANETTA,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE SENATE,013,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE SENATE,013,ALEXANDER GLEW,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,STATE SENATE,013,JOSH BECKER,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE SENATE,015,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE SENATE,015,DAVE CORTESE,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE SENATE,015,ANN M. RAVEL,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE SENATE,017,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE SENATE,017,VICKI NOHRDEN,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,STATE SENATE,017,JOHN LAIRD,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE HOUSE,024,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE HOUSE,024,PETER OHTAKI,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,STATE HOUSE,024,MARC BERMAN,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE HOUSE,025,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE HOUSE,025,ALEX LEE,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE HOUSE,025,BOB BRUNTON,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,STATE HOUSE,027,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE HOUSE,027,G. BURT LANCASTER,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,STATE HOUSE,027,ASH KALRA,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE HOUSE,028,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE HOUSE,028,EVAN LOW,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE HOUSE,028,CARLOS RAFAEL CRUZ,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,STATE HOUSE,029,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE HOUSE,029,MARK STONE,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CLARA,STATE HOUSE,029,SHOMIR BANERJEE,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,STATE HOUSE,030,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CLARA,STATE HOUSE,030,GREGORY SWETT,1,REP,REPUBLICAN
CALIFORNIA,SANTA CLARA,STATE HOUSE,030,ROBERT RIVAS,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,JOSEPH KISHORE,1,,
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,BROCK PIERCE,1,,
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,SANTA CRUZ,US PRESIDENT,FEDERAL,WRITE-IN,1,,
CALIFORNIA,SANTA CRUZ,US HOUSE,018,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CRUZ,US HOUSE,018,ANNA G. ESHOO,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CRUZ,US HOUSE,018,RISHI KUMAR,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CRUZ,US HOUSE,020,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CRUZ,US HOUSE,020,JEFF GORMAN,1,REP,REPUBLICAN
CALIFORNIA,SANTA CRUZ,US HOUSE,020,JIMMY PANETTA,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CRUZ,STATE SENATE,017,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CRUZ,STATE SENATE,017,VICKI NOHRDEN,1,REP,REPUBLICAN
CALIFORNIA,SANTA CRUZ,STATE SENATE,017,JOHN LAIRD,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CRUZ,STATE HOUSE,029,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CRUZ,STATE HOUSE,029,SHOMIR BANERJEE,1,REP,REPUBLICAN
CALIFORNIA,SANTA CRUZ,STATE HOUSE,029,MARK STONE,1,DEM,DEMOCRAT
CALIFORNIA,SANTA CRUZ,STATE HOUSE,030,UNDERVOTE?,1,,undervote
CALIFORNIA,SANTA CRUZ,STATE HOUSE,030,GREGORY SWETT,1,REP,REPUBLICAN
CALIFORNIA,SANTA CRUZ,STATE HOUSE,030,ROBERT RIVAS,1,DEM,DEMOCRAT
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,BROCK PIERCE,1,,
CALIFORNIA,SHASTA,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,SHASTA,US HOUSE,001,UNDERVOTE?,1,,undervote
CALIFORNIA,SHASTA,US HOUSE,001,DOUG LAMALFA,1,REP,REPUBLICAN
CALIFORNIA,SHASTA,US HOUSE,001,AUDREY DENNEY,1,DEM,DEMOCRAT
CALIFORNIA,SHASTA,STATE SENATE,001,UNDERVOTE?,1,,undervote
CALIFORNIA,SHASTA,STATE SENATE,001,PAMELA DAWN SWARTZ,1,DEM,DEMOCRAT
CALIFORNIA,SHASTA,STATE SENATE,001,BRIAN DAHLE,1,REP,REPUBLICAN
CALIFORNIA,SHASTA,STATE HOUSE,001,UNDERVOTE?,1,,undervote
CALIFORNIA,SHASTA,STATE HOUSE,001,MEGAN DAHLE,1,REP,REPUBLICAN
CALIFORNIA,SHASTA,STATE HOUSE,001,ELIZABETH L. BETANCOURT,1,DEM,DEMOCRAT
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,WRITE-IN,1,,
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,JOSEPH KISHORE,1,,
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,BROCK PIERCE,1,,
CALIFORNIA,SONOMA,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,SONOMA,US HOUSE,002,UNDERVOTE?,1,,undervote
CALIFORNIA,SONOMA,US HOUSE,002,JARED HUFFMAN,1,DEM,DEMOCRAT
CALIFORNIA,SONOMA,US HOUSE,002,DALE K. MENSING,1,REP,REPUBLICAN
CALIFORNIA,SONOMA,US HOUSE,005,UNDERVOTE?,1,,undervote
CALIFORNIA,SONOMA,US HOUSE,005,MIKE THOMPSON,1,DEM,DEMOCRAT
CALIFORNIA,SONOMA,US HOUSE,005,SCOTT GIBLIN,1,REP,REPUBLICAN
CALIFORNIA,SONOMA,STATE SENATE,003,UNDERVOTE?,1,,undervote
CALIFORNIA,SONOMA,STATE SENATE,003,BILL DODD,1,DEM,DEMOCRAT
CALIFORNIA,SONOMA,STATE SENATE,003,CARLOS SANTAMARIA,1,REP,REPUBLICAN
CALIFORNIA,SONOMA,STATE HOUSE,002,UNDERVOTE?,1,,undervote
CALIFORNIA,SONOMA,STATE HOUSE,002,JIM WOOD,1,DEM,DEMOCRAT
CALIFORNIA,SONOMA,STATE HOUSE,002,CHARLOTTE ANN SVOLOS,1,REP,REPUBLICAN
CALIFORNIA,SONOMA,STATE HOUSE,004,UNDERVOTE?,1,,undervote
CALIFORNIA,SONOMA,STATE HOUSE,004,MATTHEW L. NELSON,1,REP,REPUBLICAN
CALIFORNIA,SONOMA,STATE HOUSE,004,CECILIA AGUIAR-CURRY,1,DEM,DEMOCRAT
CALIFORNIA,SONOMA,STATE HOUSE,010,UNDERVOTE?,1,,undervote
CALIFORNIA,SONOMA,STATE HOUSE,010,VERONICA (RONI) JACOBI,1,DEM,DEMOCRAT
CALIFORNIA,SONOMA,STATE HOUSE,010,MARC LEVINE,1,DEM,DEMOCRAT
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,W-I,W-I
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,JESSE VENTURA,1,W-I,W-I
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,NA,1,NA,NA
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,SUTTER,US PRESIDENT,FEDERAL,WRITE-IN,1,,
CALIFORNIA,SUTTER,US HOUSE,003,JOHN GARAMENDI,1,DEM,DEMOCRAT
CALIFORNIA,SUTTER,US HOUSE,003,NA,1,NA,NA
CALIFORNIA,SUTTER,US HOUSE,003,TAMIKA HAMILTON,1,REP,REPUBLICAN
CALIFORNIA,SUTTER,STATE HOUSE,003,JAMES GALLAGHER,1,REP,REPUBLICAN
CALIFORNIA,SUTTER,STATE HOUSE,003,JAMES R. HENSON,1,DEM,DEMOCRAT
CALIFORNIA,SUTTER,STATE HOUSE,003,NA,1,NA,NA
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,TEHAMA,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,TEHAMA,US HOUSE,001,UNDERVOTE?,1,,undervote
CALIFORNIA,TEHAMA,US HOUSE,001,DOUG LAMALFA,1,REP,REPUBLICAN
CALIFORNIA,TEHAMA,US HOUSE,001,AUDREY DENNEY,1,DEM,DEMOCRAT
CALIFORNIA,TEHAMA,STATE HOUSE,003,UNDERVOTE?,1,,undervote
CALIFORNIA,TEHAMA,STATE HOUSE,003,JAMES R. HENSON,1,DEM,DEMOCRAT
CALIFORNIA,TEHAMA,STATE HOUSE,003,JAMES GALLAGHER,1,REP,REPUBLICAN
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,UNDERVOTE?,1,,undervote
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,JOSEPH R. BIDEN,1,DEM,DEMOCRAT
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,DONALD J. TRUMP,1,REP,REPUBLICAN
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,GLORIA LA RIVA,1,P&F,P&F
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,ROQUE (ROCKY) DE LA FUENTE GUERRA,1,AIP,AIP
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,HOWIE HAWKINS,1,GRN,GREEN
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,JO JORGENSEN,1,LBT,LIBERTARIAN
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,,
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,MARK CHARLES,1,,
CALIFORNIA,TUOLUMNE,US PRESIDENT,FEDERAL,JESSE VENTURA,1,,
CALIFORNIA,TUOLUMNE,US HOUSE,004,UNDERVOTE?,1,,undervote
CALIFORNIA,TUOLUMNE,US HOUSE,004,TOM MCCLINTOCK,1,REP,REPUBLICAN
CALIFORNIA,TUOLUMNE,US HOUSE,004,BRYNNE S. KENNEDY,1,DEM,DEMOCRAT
CALIFORNIA,TUOLUMNE,STATE HOUSE,005,UNDERVOTE?,1,,undervote
CALIFORNIA,TUOLUMNE,STATE HOUSE,005,FRANK BIGELOW,1,REP,REPUBLICAN
CALIFORNIA,VENTURA,US PRESIDENT,FEDERAL,BRIAN CARROLL,1,NA,NA
