state,office,district,candidate_medsl,candidate_harvard,party_detailed,issue,writein,fixed error?
IDAHO,US PRESIDENT,FEDERAL,KANYE WEST,,INDEPENDENT,,,
IDAHO,US PRESIDENT,FEDERAL,KANYE WEST,,INDEPENDENT,,,
IDAHO,US PRESIDENT,FEDERAL,ROCQUE DE LA FUENTE,,REFORM,,,
IDAHO,US SENATE,IDAHO,JIM RISCH,,REPUBLICAN,,,
IDAHO,US SENATE,IDAHO,NATALIE M FLEMING,,INDEPENDENT,,,
IDAHO,US SENATE,IDAHO,NATALIE M FLEMING,,INDEPENDENT,,,
IDAHO,US SENATE,IDAHO,PAULETTE JORDAN,,DEMOCRAT,,,
IDAHO,US SENATE,IDAHO,RAY J WRITZ,,CONSTITUTION,,,
IDAHO,US SENATE,IDAHO,RAY J WRITZ,,CONSTITUTION,,,
ILLINOIS,STATE HOUSE,52,GRE ALIA SARFRAZ,,GREEN,,,
ILLINOIS,STATE HOUSE,89,JOHN COOK,JOHN COOK,INDEPENDENT,,,
ILLINOIS,STATE HOUSE,100,PGL RALPH SIDES,,PRO GUN PRO LIFE,,,
ILLINOIS,STATE HOUSE,052,ALIA SARFRAZ,,GREEN,,,
ILLINOIS,STATE HOUSE,100,RALPH SIDES,,PRO GUN PRO LIFE,,,
ILLINOIS,STATE HOUSE,107,SEILER DAVID,"SEILER, DAVID",DEMOCRAT,,,
ILLINOIS,STATE HOUSE,107,WILHOUR BLAINE,"WILHOUR, BLAINE",REPUBLICAN,,,
ILLINOIS,STATE HOUSE,108,MEIER CHARLES,"MEIER, CHARLES",REPUBLICAN,,,
ILLINOIS,STATE HOUSE,108,WEICHERDING KACIE,"WEICHERDING, KACIE",DEMOCRAT,,,
ILLINOIS,STATE HOUSE,109,NIEMERG ADAM,"NIEMERG, ADAM",REPUBLICAN,,,
ILLINOIS,STATE HOUSE,109,SPENCER JOHN,"SPENCER, JOHN",DEMOCRAT,,,
ILLINOIS,STATE HOUSE,115,AUXIER RANDY,"AUXIER, RANDY",GREEN,,,
ILLINOIS,STATE HOUSE,115,JACOBS PAUL,"JACOBS, PAUL",REPUBLICAN,,,
ILLINOIS,STATE HOUSE,115,PEAK IAN,"PEAK, IAN",LIBERTARIAN,,,
ILLINOIS,STATE HOUSE,116,FRIESS DAVID,"FRIESS, DAVID",REPUBLICAN,,,
ILLINOIS,STATE HOUSE,116,REITZ NATHAN,"REITZ, NATHAN",DEMOCRAT,,,
ILLINOIS,STATE HOUSE,118,WINDHORST PATRICK,"WINDHORST, PATRICK",REPUBLICAN,,,
ILLINOIS,STATE SENATE,55,BAILEY DARREN,"BAILEY, DARREN",REPUBLICAN,,,
ILLINOIS,STATE SENATE,55,GIVEN CYNTHIA,"GIVEN, CYNTHIA",DEMOCRAT,,,
ILLINOIS,STATE SENATE,58,BRYANT TERRI,"BRYANT, TERRI",REPUBLICAN,,,
ILLINOIS,US HOUSE,15,MILLER MARY,,REPUBLICAN,,,
ILLINOIS,US HOUSE,15,WEAVER ERIKA,,DEMOCRAT,,,
ILLINOIS,US HOUSE,012,BOST MIKE,"BOST, MIKE",REPUBLICAN,,,
ILLINOIS,US HOUSE,012,LENZI RAYMOND,"LENZI, RAYMOND",DEMOCRAT,,,
ILLINOIS,US HOUSE,015,ERIKA WEAVER,,DEMOCRAT,,,
ILLINOIS,US HOUSE,015,MARY MILLER,,REPUBLICAN,,,
ILLINOIS,US PRESIDENT,FEDERAL,ASP,,,yes,,
ILLINOIS,US PRESIDENT,FEDERAL,BRIAN T CARROLL,,AMERICAN SOLIDARITY,,,
ILLINOIS,US PRESIDENT,FEDERAL,BRIAN T CARROLL,,AMERICAN SOLIDARITY,,,
ILLINOIS,US PRESIDENT,FEDERAL,GLORIA LA RIVA,GLORIA LA RIVA,PSL,,,
ILLINOIS,US PRESIDENT,FEDERAL,PSL,,,yes,,
ILLINOIS,US PRESIDENT,FEDERAL,SOC,,,yes,,
ILLINOIS,US PRESIDENT,FEDERAL,,,,,,
ILLINOIS,US SENATE,ILLINOIS,BLACK DAVID,"BLACK, DAVID F.",GREEN,,,
ILLINOIS,US SENATE,ILLINOIS,CURRAN JR MARK,,REPUBLICAN,,,
ILLINOIS,US SENATE,ILLINOIS,CYNTHIA GIVEN,,DEMOCRAT,ran for state senate,,yes
ILLINOIS,US SENATE,ILLINOIS,DARREN BAILEY,,REPUBLICAN,ran for state senate,,yes
ILLINOIS,US SENATE,ILLINOIS,DAVID F BLACK,,GREEN,,,
ILLINOIS,US SENATE,ILLINOIS,DURBIN RICHARD,"DURBIN, RICHARD",DEMOCRAT,,,
ILLINOIS,US SENATE,ILLINOIS,GRE DAVID F BLACK,,GREEN,,,
ILLINOIS,US SENATE,ILLINOIS,MALOUF DANNY,"MALOUF, DANNY",LIBERTARIAN,,,
ILLINOIS,US SENATE,ILLINOIS,MARK CURRAN JR,,REPUBLICAN,,,
ILLINOIS,US SENATE,ILLINOIS,TERRI BRYANT,,REPUBLICAN,ran for state senate,,yes
ILLINOIS,US SENATE,ILLINOIS,WILLIE L WILSON,,WILLIE WILSON,,,
ILLINOIS,US SENATE,ILLINOIS,WILSON WILLIE,"WILSON, WILLIE L.",WILLIE WILSON,,,
ILLINOIS,US SENATE,ILLINOIS,WWP WILLIE L WILSON,,WILLIE WILSON,,,
ILLINOIS,US SENATE,ILLINOIS,WWP WILLIE LWILSON,,WILLIE WILSON,,,
IOWA,US PRESIDENT,FEDERAL,KANYE WEST,,INDEPENDENT,,,
IOWA,US SENATE,IOWA,SUZANNE HERZOG,,INDEPENDENT,,,
IOWA,US SENATE,IOWA,SUZANNE HERZOG,,INDEPENDENT,,,
MARYLAND,US HOUSE,001,ANDY HARRIS,ANDY HARRIS,REPUBLICAN,,,
MARYLAND,US HOUSE,001,MIA MASON,MIA MASON,DEMOCRAT,,,
MARYLAND,US HOUSE,001,REPRESENTATIVE IN CONGRESS 1,,,yes,,
MARYLAND,US HOUSE,002,CA DUTCH RUPPERSBERGER,C.A. DUTCH RUPPERSBERGER,DEMOCRAT,,,
MARYLAND,US HOUSE,002,JOHNNY RAY SALLING,JOHNNY RAY SALLING,REPUBLICAN,,,
MARYLAND,US HOUSE,002,REPRESENTATIVE IN CONGRESS 2,,,yes,,
MARYLAND,US HOUSE,003,CHARLES ANTHONY,CHARLES ANTHONY,REPUBLICAN,,,
MARYLAND,US HOUSE,003,JOHN SARBANES,JOHN SARBANES,DEMOCRAT,,,
MARYLAND,US HOUSE,003,REPRESENTATIVE IN CONGRESS 3,,,yes,,
MARYLAND,US HOUSE,004,ANTHONY G BROWN,,DEMOCRAT,,,
MARYLAND,US HOUSE,004,GEORGE E MCDERMOTT,,REPUBLICAN,,,
MARYLAND,US HOUSE,004,REPRESENTATIVE IN CONGRESS 4,,,yes,,
MARYLAND,US HOUSE,005,CHRIS PALOMBI,CHRIS PALOMBI,REPUBLICAN,,,
MARYLAND,US HOUSE,005,REPRESENTATIVE IN CONGRESS 5,,,yes,,
MARYLAND,US HOUSE,005,STENY H HOYER,STENY H. HOYER,DEMOCRAT,,,
MARYLAND,US HOUSE,006,DAVID J TRONE,DAVID J. TRONE,DEMOCRAT,,,
MARYLAND,US HOUSE,006,GEORGE GLUCK,GEORGE GLUCK,GREEN,,,
MARYLAND,US HOUSE,006,NEIL C PARROTT,NEIL C. PARROTT,REPUBLICAN,,,
MARYLAND,US HOUSE,006,REPRESENTATIVE IN CONGRESS 6,,,yes,,
MARYLAND,US HOUSE,007,KIMBERLY KLACIK,KIMBERLY KLACIK,REPUBLICAN,,,
MARYLAND,US HOUSE,007,KWEISI MFUME,KWEISI MFUME,DEMOCRAT,,,
MARYLAND,US HOUSE,007,REPRESENTATIVE IN CONGRESS 7,,,yes,,
MARYLAND,US HOUSE,008,GREGORY THOMAS COLL,GREGORY THOMAS COLL,REPUBLICAN,,,
MARYLAND,US HOUSE,008,JAMIE RASKIN,JAMIE RASKIN,DEMOCRAT,,,
MARYLAND,US HOUSE,008,REPRESENTATIVE IN CONGRESS 8,,,yes,,
MARYLAND,US PRESIDENT,FEDERAL,JEROME M SEGAL,SEGAL-DE GRAAF,BREAD AND ROSES,,,
MARYLAND,US PRESIDENT,FEDERAL,JOVANI M PATTERSON,,,candidate for president of Baltimore city council,,yes
MARYLAND,US PRESIDENT,FEDERAL,NICK MOSBY,,,candidate for president of Baltimore city council,,yes
MARYLAND,US PRESIDENT,FEDERAL,PRESIDENT CITY COUNCIL,,,yes,,
MARYLAND,US PRESIDENT,FEDERAL,PRESIDENT VICE PRES,,,yes,,
MARYLAND,US PRESIDENT,FEDERAL,SEGALDE GRAAF,SEGAL-DE GRAAF,BREAD AND ROSES,,,
MICHIGAN,STATE HOUSE,4,LINDA RAYBURN WCP,LINDA RAYBURN,WORKING CLASS,,,
MICHIGAN,STATE HOUSE,4,MD RABBI ALAM,MD RABBI ALAM,INDEPENDENT,,,
MICHIGAN,STATE HOUSE,7,KIMBERLY GIVENS WCP,KIMBERLY GIVENS,WORKING CLASS,,,
MICHIGAN,STATE HOUSE,14,SIMONE R COLEMAN WCP,SIMONE R. COLEMAN,WORKING CLASS,,,
MICHIGAN,STATE HOUSE,96,WCP KATHY GOODWIN,,WORKING CLASS,,,
MICHIGAN,STATE HOUSE,109,JIM HAFEMAN UST,,US TAXPAYERS,,,
MICHIGAN,STATE HOUSE,004,MD RABBI ALAM,MD RABBI ALAM,INDEPENDENT,,,
MICHIGAN,STATE HOUSE,018,REPRESENTATIVE IN STATE LEGISLATURE 18TH DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,022,REPRESENTATIVE IN STATE LEGISLATURE 22ND DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,024,REPRESENTATIVE IN STATE LEGISLATURE 24TH DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,025,REPRESENTATIVE IN STATE LEGISLATURE 25TH DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,028,REPRESENTATIVE IN STATE LEGISLATURE 28TH DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,030,REPRESENTATIVE IN STATE LEGISLATURE 30TH DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,031,REPRESENTATIVE IN STATE LEGISLATURE 31ST DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,032,REPRESENTATIVE IN STATE LEGISLATURE 32ND DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,033,REPRESENTATIVE IN STATE LEGISLATURE 33RD DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,036,REPRESENTATIVE IN STATE LEGISLATURE 36TH DISTRICT,,,yes,,
MICHIGAN,STATE HOUSE,096,KATHY GOODWIN,,WORKING CLASS,,,
MICHIGAN,STATE HOUSE,109,JIM HAFEMAN,,US TAXPAYERS,,,
MICHIGAN,STATE SENATE,16,JOSEPH BELLINO JR,,REPUBLICAN,,,
MICHIGAN,STATE SENATE,16,KATYBETH DAVIS,,DEMOCRAT,,,
MICHIGAN,STATE SENATE,16,TC CLEMENTS,,REPUBLICAN,,,
MICHIGAN,STATE SENATE,17,JONATHAN LINDSEY,,REPUBLICAN,,,
MICHIGAN,STATE SENATE,17,KIM LASATA,,REPUBLICAN,,,
MICHIGAN,STATE SENATE,17,SCOTT REX STARR,,DEMOCRAT,,,
MICHIGAN,STATE SENATE,016,JOSEPH BELLINO JR,,,ran in dist. 17,,
MICHIGAN,STATE SENATE,016,KATYBETH DAVIS,,DEMOCRAT,,yes,
MICHIGAN,STATE SENATE,016,TC CLEMENTS,,,ran in dist. 56,,
MICHIGAN,STATE SENATE,017,JONATHAN LINDSEY,,REPUBLICAN,,yes,
MICHIGAN,STATE SENATE,017,KIM LASATA,,REPUBLICAN,,yes,
MICHIGAN,STATE SENATE,017,SCOTT REX STARR,,DEMOCRAT,,yes,
MICHIGAN,US HOUSE,2,UST GERALD T VAN SICKLE,GERALD T. VAN SICKLE,US TAXPAYERS,,,
MICHIGAN,US HOUSE,5,KATHY GOODWIN,KATHY GOODWIN,WORKING CLASS,,,
MICHIGAN,US HOUSE,5,UTP VALERIE L WILLIS,,US TAXPAYERS,,,
MICHIGAN,US HOUSE,5,WCP KATHY GOODWIN,KATHY GOODWIN,WORKING CLASS,,,
MICHIGAN,US HOUSE,9,WC ANDREA L KIRBY,WC ANDREA L. KIRBY,WORKING CLASS,,,
MICHIGAN,US HOUSE,12,GARY WALKOWICZ WCP,GARY WALKOWICZ,WORKING CLASS,,,
MICHIGAN,US HOUSE,13,ARTICIA BOMER UST,ARTICIA BOMER,US TAXPAYERS,,,
MICHIGAN,US HOUSE,13,SAM JOHNSON WCP,,WORKING CLASS,,,
MICHIGAN,US HOUSE,14,PHILIP KOLODY WCP,PHILIP KOLODY,WORKING CLASS,,,
MICHIGAN,US HOUSE,002,UST GERALD T VAN SICKLE,GERALD T. VAN SICKLE,US TAXPAYERS,,,
MICHIGAN,US HOUSE,005,DOUG DERN,,NATURAL LAW,ran for U.S. Senate (correct entry a few rows down),,
MICHIGAN,US HOUSE,005,VALERIE L WILLIS,,US TAXPAYERS,ran for U.S. Senate,,
MICHIGAN,US HOUSE,005,WCP KATHY GOODWIN,KATHY GOODWIN,WORKING CLASS,,,
MICHIGAN,US HOUSE,008,ELISSA SLOTKIN,,DEMOCRAT,,,
MICHIGAN,US HOUSE,008,JOE HARTMAN,,LIBERTARIAN,,,
MICHIGAN,US HOUSE,008,PAUL JUNGE,,REPUBLICAN,,,
MICHIGAN,US HOUSE,009,ANDREA L KIRBY,WC ANDREA L. KIRBY,WORKING CLASS,,,
MICHIGAN,US HOUSE,009,REPRESENTATIVE IN CONGRESS 9TH DISTRICT,,,yes,,
MICHIGAN,US HOUSE,010,REPRESENTATIVE IN CONGRESS 10TH DISTRICT,,,yes,,
MICHIGAN,US PRESIDENT,FEDERAL,AUDRA F SCHEBELLA,,,,yes,
MICHIGAN,US PRESIDENT,FEDERAL,DEMOCRATIC PARTY,,,yes,,
MICHIGAN,US PRESIDENT,FEDERAL,DON BLANKENSHIP,DON BLANKENSHIP,CONSTITUTION,,,
MICHIGAN,US PRESIDENT,FEDERAL,ELECTORS OF PRESIDENT AND VICEPRESIDENT OF THE UNITED STATES,,,yes,,
MICHIGAN,US PRESIDENT,FEDERAL,GREEN PARTY,,,yes,,
MICHIGAN,US PRESIDENT,FEDERAL,LIBERTARIAN PARTY,,,yes,,
MICHIGAN,US PRESIDENT,FEDERAL,NATURAL LAW PARTY,,,yes,,
MICHIGAN,US PRESIDENT,FEDERAL,PATRICIA K VAILLIENCOURT,,,ran for manchester village president,,
MICHIGAN,US PRESIDENT,FEDERAL,REPUBLICAN PARTY,,,yes,,
MICHIGAN,US PRESIDENT,FEDERAL,US TAXPAYERS PARTY,,,yes,,
MICHIGAN,US PRESIDENT,FEDERAL,WORKING CLASS PARTY,,,yes,,
MICHIGAN,US SENATE,MICHIGAN,DON BLANKENSHIP,,CONSTITUTION,,,
MICHIGAN,US SENATE,MICHIGAN,DOUG DERN,DOUG DERN,NATURAL LAW,,,
MICHIGAN,US SENATE,MICHIGAN,DOUG DERN,,NATURAL LAW,,,
MICHIGAN,US SENATE,MICHIGAN,GARY PETERS,GARY PETERS,DEMOCRAT,,,
MICHIGAN,US SENATE,MICHIGAN,JOHN JAMES,JOHN JAMES,REPUBLICAN,,,
MICHIGAN,US SENATE,MICHIGAN,MARCIA SQUIER,MARCIA SQUIER,GREEN,,,
MICHIGAN,US SENATE,MICHIGAN,UNITED STATES SENATOR,,,yes,,
MICHIGAN,US SENATE,MICHIGAN,UST VALERIE L WILLIS,VALERIE L. WILLIS,US TAXPAYERS,,,
MICHIGAN,US SENATE,MICHIGAN,UST VALERIE L WILLIS,VALERIE L. WILLIS,US TAXPAYERS,,,
MICHIGAN,US SENATE,MICHIGAN,UTP VALERIE L WILLIS,VALERIE L. WILLIS,US TAXPAYERS,,,
MICHIGAN,US SENATE,MICHIGAN,VALERIE L WILLIS,VALERIE L. WILLIS,US TAXPAYERS,,,
MICHIGAN,US SENATE,MICHIGAN,VALERIE L WILLIS,VALERIE L. WILLIS,US TAXPAYERS,,,
MICHIGAN,US SENATE,MICHIGAN,VALERIE L WILLIS UST,VALERIE L. WILLIS,US TAXPAYERS,,,
MICHIGAN,US SENATE,MICHIGAN,VALERIE L WILLIS UST,VALERIE L. WILLIS,US TAXPAYERS,,,
MINNESOTA,STATE HOUSE,28B,IF ANY,,,yes,,
MINNESOTA,STATE SENATE,028,IF ANY,,,yes,,
MINNESOTA,US HOUSE,1,BILL ROOD,,GRASSROOTS-LEGALIZE CANNABIS,,,
MINNESOTA,US HOUSE,001,IF ANY,,,yes,,
MINNESOTA,US HOUSE,001,KEVIN OCONNOR,,,ran for US Senate (correct entry a few rows down),,
MINNESOTA,US PRESIDENT,FEDERAL,ALYSON KENNEDYJARRETT,,SOCIALIST WORKERS,,,
MINNESOTA,US PRESIDENT,FEDERAL,BROCK PIERCE,,INDEPENDENT,,,
MINNESOTA,US PRESIDENT,FEDERAL,KANYE WEST,,INDEPENDENT,,,
MINNESOTA,US PRESIDENT,FEDERAL,ROCQUE DE LA FUENTE,,REFORM,,,
MINNESOTA,US SENATE,MINNESOTA,IF ANY,,,yes,,
MINNESOTA,US SENATE,MINNESOTA,LMN KEVIN OCONNOR,,LEGAL MARIJUANA NOW,,,
MINNESOTA,US SENATE,MINNESOTA,LMN KEVIN OCONNOR,,LEGAL MARIJUANA NOW,,,
MINNESOTA,US SENATE,MINNESOTA,OLIVER STEINBERG,,GRASSROOTS-LEGALIZE CANNABIS,,,
NEVADA,STATE HOUSE,30,CHARLENE YOUNG,,INDEPENDENT AMERICAN,,,
NEVADA,STATE SENATE,19,TIFFANY GHOLSON,,INDEPENDENT AMERICAN,,,
NEVADA,STATE SENATE,19,TIFFANY GHOLSON SEEBACK,,INDEPENDENT AMERICAN,,,
NEVADA,US HOUSE,2,HANSEN JANINE,"HANSEN, JANINE",INDEPENDENT,,,
NEVADA,US HOUSE,2,JAMIE HANSEN,,INDEPENDENT,,,
NEVADA,US HOUSE,2,JANINE HANSEN,,INDEPENDENT AMERICAN,,,
NEVADA,US HOUSE,4,1,,,,,
NEVADA,US HOUSE,4,BARRY I RUBINSON,,INDEPENDENT,,,
NEVADA,US HOUSE,4,RUBINSON BARRY L,"RUBINSON, BARRY L.",INDEPENDENT,,,
NEVADA,US HOUSE,004,1,,,yes,,
NEVADA,US PRESIDENT,FEDERAL,DON BLANKENSHIP,DON BLANKENSHIP,CONSTITUTION,,,
NEVADA,US PRESIDENT,FEDERAL,NONE OF THESE CANDIDATES,NONE OF THESE CANDIDATES,NP,,,
NEVADA,US PRESIDENT,FEDERAL,NONE OF THESE CANDIDATES,NONE OF THESE CANDIDATES,NP,,,
NEW JERSEY,US HOUSE,2,JEANNA HARVEY,,JUSTICE MERCY HUMILITY,,,
NEW JERSEY,US HOUSE,2,JENNA HARVEY,JENNA HARVEY,JUSTICE MERCY HUMILITY,,,
NEW JERSEY,US HOUSE,2,NMC JENNA HARVEY,,JUSTICE MERCY HUMILITY,,,
NEW JERSEY,US HOUSE,4,ANDREW PACHUTA,ANDREW PACHUTA,COMMON SENSE,,,
NEW JERSEY,US HOUSE,4,HANK SCHROEDER,HANK SCHROEDER,MAKE CHANGE HAPPEN,,,
NEW JERSEY,US HOUSE,5,LOUIS A VELLUCCI NON,LOUIS A. VELLUCCI,AMERICAN VALUES,,,
NEW JERSEY,US HOUSE,5,NP3 LOUIS A VELLUCCI,LOUIS A. VELLUCCI,NON,,,
NEW JERSEY,US HOUSE,9,CHRIS AURIEMMA NBP,CHRIS AURIEMMA,INDEPENDENT,,,
NEW JERSEY,US HOUSE,9,CHRIS AURIEMMA NON,CHRIS AURIEMMA,NBP,,,
NEW JERSEY,US HOUSE,9,NP3 CHRIS AURIEMMA,CHRIS AURIEMMA,NP,,,
NEW JERSEY,US HOUSE,10,AKIL KHALFANI,AKIL KHALFANI,INDEPENDENT,,,
NEW JERSEY,US HOUSE,10,AKIL KHALFANI NBP,AKIL KHALFANI,INDEPENDENT,,,
NEW JERSEY,US HOUSE,10,KHALIAH FITCHETTE,KHALIAH FITCHETTE,INDEPENDENT,,,
NEW JERSEY,US HOUSE,10,KHALIAH FITCHETTE NBP,KHALIAH FITCHETTE,INDEPENDENT,,,
NEW JERSEY,US HOUSE,10,NON AKIL KHALFANI,AKIL KHALFANI,INDEPENDENT,,,
NEW JERSEY,US HOUSE,10,NON KHALIAH FITCHETTE,KHALIAH FITCHETTE,NON,,,
NEW JERSEY,US HOUSE,12,NON EDWARD NJ WEEDMAN FORCHION,EDWARD NJ WEEDMAN FORCHION,NON,,,
NEW JERSEY,US HOUSE,12,NON KENNETH J CODY,KENNETH J. CODY,NON,,,
NEW JERSEY,US HOUSE,12,NPF KENNETH J CODY,KENNETH J. CODY,NON,,,
NEW JERSEY,US HOUSE,12,NPG EDWARD NJ WEEDMAN FORCHION,EDWARD NJ WEEDMAN FORCHION,NON,,,
NEW JERSEY,US HOUSE,001,NMC MADELYN R HOFFMAN,,GREEN,ran for US Senate,,
NEW JERSEY,US HOUSE,002,AMY FARINA,AMY FARINA,,,yes,
NEW JERSEY,US HOUSE,002,AMY KENNEDY,AMY KENNEDY,DEMOCRAT,,,
NEW JERSEY,US HOUSE,002,ANDY KIM,ANDY KIM,,,yes,
NEW JERSEY,US HOUSE,002,BLANK,,,yes,,
NEW JERSEY,US HOUSE,002,BOB PATTERSON,BOB PATTERSON,,,yes,
NEW JERSEY,US HOUSE,002,BRIAN HARRIS JR,"BRIAN HARRIS, JR.",,,yes,
NEW JERSEY,US HOUSE,002,BRIAN J HALEY,BRIAN J. HALEY,,,yes,
NEW JERSEY,US HOUSE,002,CHARLES COLOZZI,CHARLES COLOZZI,,,yes,
NEW JERSEY,US HOUSE,002,CHLOE RUST,CHLOE RUST,,,yes,
NEW JERSEY,US HOUSE,002,CLEAN UP YOUR SIGNS,CLEAN UP YOUR SIGNS,,,yes,
NEW JERSEY,US HOUSE,002,DICK BOBBY,DICK BOBBY,,,yes,
NEW JERSEY,US HOUSE,002,EDDIE W NIEVES,EDDIE W. NIEVES,,,yes,
NEW JERSEY,US HOUSE,002,ELISHA BENRUBI,ELISHA BENRUBI,,,yes,
NEW JERSEY,US HOUSE,002,GALE CARON,GALE CARON,,,yes,
NEW JERSEY,US HOUSE,002,GARRETT DENVER,GARRETT DENVER,,,yes,
NEW JERSEY,US HOUSE,002,JEANNA HARVEY,,JUSTICE MERCY HUMILITY,,yes,
NEW JERSEY,US HOUSE,002,JEFF VAN DREW,JEFF VAN DREW,REPUBLICAN,,,
NEW JERSEY,US HOUSE,002,JENNA HARVEY,JENNA HARVEY,JUSTICE MERCY HUMILITY,,yes,
NEW JERSEY,US HOUSE,002,JESSE EHRNSTROM,JESSE EHRNSTROM,LIBERTARIAN,,,
NEW JERSEY,US HOUSE,002,JOE JONAS,,,,yes,
NEW JERSEY,US HOUSE,002,JOHN DOE,JOHN DOE,,,yes,
NEW JERSEY,US HOUSE,002,JOHN SMITH,JOHN SMITH,,,yes,
NEW JERSEY,US HOUSE,002,JOSEPH CARLSON,JOSEPH CARLSON,,,yes,
NEW JERSEY,US HOUSE,002,LES CLAYPOOL,LES CLAYPOOL,,,yes,
NEW JERSEY,US HOUSE,002,MICHAEL BELL,MICHAEL BELL,,,yes,
NEW JERSEY,US HOUSE,002,MIKE HUNT,MIKE HUNT,,,yes,
NEW JERSEY,US HOUSE,002,NICK FOLES,NICK FOLES,,,yes,
NEW JERSEY,US HOUSE,002,NMC JENNA HARVEY,,JUSTICE MERCY HUMILITY,,,
NEW JERSEY,US HOUSE,002,NO ONE,,,,yes,
NEW JERSEY,US HOUSE,002,PAUL E ROBERTSON,PAUL E. ROBERTSON,,,yes,
NEW JERSEY,US HOUSE,002,PERSONAL CHOICE,,,,yes,
NEW JERSEY,US HOUSE,002,PIPED MARTELL,PIPED MARTELL,,,yes,
NEW JERSEY,US HOUSE,002,RACHEL HUNT,RACHEL HUNT,,,yes,
NEW JERSEY,US HOUSE,002,RICHIE RAINE,RICHIE RAINE,,,yes,
NEW JERSEY,US HOUSE,002,ROB RATTIGAN,ROB RATTIGAN,,,yes,
NEW JERSEY,US HOUSE,002,ROBERT MORSE,ROBERT MORSE,,,yes,
NEW JERSEY,US HOUSE,002,ROCKY,,,,yes,
NEW JERSEY,US HOUSE,002,STEVEN RUSSELL,STEVEN RUSSELL,,,yes,
NEW JERSEY,US HOUSE,002,TIMOTHY DIXON,TIMOTHY DIXON,,,yes,
NEW JERSEY,US HOUSE,002,TYRON HERNANDEZ,TYRON HERNANDEZ,,,yes,
NEW JERSEY,US HOUSE,002,VICTORIA ELWELL,VICTORIA ELWELL,,,yes,
NEW JERSEY,US HOUSE,002,WILL CUMMINGHAM,WILL CUMMINGHAM,,,yes,
NEW JERSEY,US HOUSE,002,WILLIAM HAIG,WILLIAM HAIG,,,yes,
NEW JERSEY,US HOUSE,002,WILLIAM S HAIG,WILLIAM S. HAIG,,,yes,
NEW JERSEY,US HOUSE,004,ARIEL WARNAN,ARIEL WARNAN,,,yes,
NEW JERSEY,US HOUSE,004,CHRISTINE CONFORTI,CHRISTINE CONFORTI,,,yes,
NEW JERSEY,US HOUSE,004,E DEBS,,,,yes,
NEW JERSEY,US HOUSE,004,GARY FARACI,GARY FARACI,,,yes,
NEW JERSEY,US HOUSE,004,GEORGE LOWENBERG JR,"GEORGE LOWENBERG, JR.",,,yes,
NEW JERSEY,US HOUSE,004,HANNIBAL BURRESS,HANNIBAL BURRESS,,,yes,
NEW JERSEY,US HOUSE,004,KELLY HURLEY,KELLY HURLEY,,,yes,
NEW JERSEY,US HOUSE,004,MICHAEL F FACCONE,MICHAEL F. FACCONE,,,yes,
NEW JERSEY,US HOUSE,004,THOMAS ESEMPLARE,THOMAS ESEMPLARE,,,yes,
NEW JERSEY,US HOUSE,005,ANTHONY J FINALDI,ANTHONY J. FINALDI,,,yes,
NEW JERSEY,US HOUSE,005,ARATI KREIBICH,ARATI KREIBICH,,,yes,
NEW JERSEY,US HOUSE,005,ARTIE LANG,ARTIE LANG,,,yes,
NEW JERSEY,US HOUSE,005,BEAU FORTE,BEAU FORTE,,,yes,
NEW JERSEY,US HOUSE,005,EDWARD L BLAKE,EDWARD L. BLAKE,,,yes,
NEW JERSEY,US HOUSE,005,FOR MEMBER OF THE HOUSE OF REPRESENTATIVES 5TH CONGRESSIONAL DISTRICT,,,yes,,
NEW JERSEY,US HOUSE,005,JAKE BURKE,JAKE BURKE,,,yes,
NEW JERSEY,US HOUSE,005,JESSICA WAUGAMAN,JESSICA WAUGAMAN,,,yes,
NEW JERSEY,US HOUSE,005,JINXIE PEPPERSON,JINXIE PEPPERSON,,,yes,
NEW JERSEY,US HOUSE,005,JUSTIN MOONEY,JUSTIN MOONEY,,,yes,
NEW JERSEY,US HOUSE,005,KEVIN DUNN,KEVIN DUNN,,,yes,
NEW JERSEY,US HOUSE,005,MARK EISELE,MARK EISELE,,,yes,
NEW JERSEY,US HOUSE,005,MATT CHRISTMAN,MATT CHRISTMAN,,,yes,
NEW JERSEY,US HOUSE,005,MAX ROSE,MAX ROSE,,,yes,
NEW JERSEY,US HOUSE,005,NP3 LOUIS A VELLUCCI,LOUIS A. VELLUCCI,NON,,,
NEW JERSEY,US HOUSE,005,PAC MAN,PAC MAN,,,yes,
NEW JERSEY,US HOUSE,005,PAULA TEDESCO,PAULA TEDESCO,,,yes,
NEW JERSEY,US HOUSE,005,RICHARD B VAIL,RICHARD B. VAIL,,,yes,
NEW JERSEY,US HOUSE,005,ROSEMARY BECCHI,ROSEMARY BECCHI,WRITEIN,,,
