election,scope,office,district,magnitude
8. AMENDMENT TO THE HOME RULE CHARTER OF THE CITY OF PAWTUCKET CITY OF PAWTUCKET,Pawtucket,TOWN PROPOSITION 8,,1
Council At - Large CITY OF PAWTUCKET (30505),Pawtucket,CITY COUNCIL,AT-LARGE,3
CouncilDistrict 1 Pawtucket District 1 (30510),Pawtucket,CITY COUNCIL,1,1
CouncilDistrict 2 Pawtucket District 2 (30513),Pawtucket,CITY COUNCIL,2,1
CouncilDistrict 3 Pawtucket District 3 (30516),Pawtucket,CITY COUNCIL,3,1
CouncilDistrict 4 Pawtucket District 4 (30519),Pawtucket,CITY COUNCIL,4,1
CouncilDistrict 5 Pawtucket District 5 (30522),Pawtucket,CITY COUNCIL,5,1
CouncilDistrict 6 Pawtucket District 6 (30525),Pawtucket,CITY COUNCIL,6,1
Mayor CITY OF PAWTUCKET (30502),Pawtucket,MAYOR,,1
Representative in General Assembly District 58 (29856),Pawtucket,STATE HOUSE,58,1
Representative in General Assembly District 59 (29859),Pawtucket,STATE HOUSE,59,1
Representative in General Assembly District 60 (29862),Pawtucket,STATE HOUSE,60,1
Representative in General Assembly District 61 (29865),Pawtucket,STATE HOUSE,61,1
Representative in General Assembly District 62 (29868),Pawtucket,STATE HOUSE,62,1
School Committee CITY OF PAWTUCKET (30528),Pawtucket,SCHOOL COMMITTEE,,7
Senator in General Assembly District 8 (29592),Pawtucket,STATE SENATE,8,1
10. APPOINTMENT AND REMOVAL OF OTHER SCHOOL EMPLOYEES TOWN OF PORTSMOUTH,Portsmouth,TOWN PROPOSITION 10,,1
11. PUBLIC RECORDS TOWN OF PORTSMOUTH,Portsmouth,TOWN PROPOSITION 11,,1
12. CONFLICT OF INTEREST TOWN OF PORTSMOUTH,Portsmouth,TOWN PROPOSITION 12,,1
13. COLLECTIVE BARGAINING TOWN OF PORTSMOUTH,Portsmouth,TOWN PROPOSITION 13,,1
"2. GRAMMATICAL REVISION AND COUNCIL NUMBER, TERM, SELECTION TOWN OF PORTSMOUTH",Portsmouth,TOWN PROPOSITION 2,,1
"3. TOWN COUNCIL, PRESIDING OFFICER TOWN OF PORTSMOUTH",Portsmouth,TOWN PROPOSITION 3,,1
4. TOWN COUNCIL POWERS TOWN OF PORTSMOUTH,Portsmouth,TOWN PROPOSITION 4,,1
"5. BUDGET, PROVISIONAL TOWN OF PORTSMOUTH",Portsmouth,TOWN PROPOSITION 5,,1
"6. TOWN DEPARTMENTS, FIRE TOWN OF PORTSMOUTH",Portsmouth,TOWN PROPOSITION 6,,1
"7. SCHOOL DEPARTMENT, SCHOOL COMMITTEE COMPENSATION TOWN OF PORTSMOUTH",Portsmouth,TOWN PROPOSITION 7,,1
"8. ORGANIZATION AND RULES, SELECTING CLERK OF THE SCHOOL COMMITTEE TOWN OF PORTSMOUTH",Portsmouth,TOWN PROPOSITION 8,,1
9. APPOINTMENT OF A SUPERINTENDENT TOWN OF PORTSMOUTH,Portsmouth,TOWN PROPOSITION 9,,1
School Committee TOWN OF PORTSMOUTH (30540),Portsmouth,SCHOOL COMMITTEE,,3
Town Council TOWN OF PORTSMOUTH (30548),Portsmouth,TOWN COUNCIL,,7
"2. SCHOOL AND SCHOOL FACILITIES $140,000,000 BONDS AND NOTES CITY OF PROVIDENCE",Providence,TOWN PROPOSITION 2,,1
Representative in General Assembly District 1 (29685),Providence,STATE HOUSE,1,1
Representative in General Assembly District 10 (29712),Providence,STATE HOUSE,10,1
Representative in General Assembly District 11 (29715),Providence,STATE HOUSE,11,1
Representative in General Assembly District 12 (29718),Providence,STATE HOUSE,12,1
Representative in General Assembly District 2 (29688),Providence,STATE HOUSE,2,1
Representative in General Assembly District 3 (29691),Providence,STATE HOUSE,3,1
Representative in General Assembly District 4 (29694),Providence,STATE HOUSE,4,1
Representative in General Assembly District 5 (29697),Providence,STATE HOUSE,5,1
Representative in General Assembly District 7 (29703),Providence,STATE HOUSE,7,1
Representative in General Assembly District 8 (29706),Providence,STATE HOUSE,8,1
Representative in General Assembly District 9 (29709),Providence,STATE HOUSE,9,1
Senator in General Assembly District 1 (29571),Providence,STATE SENATE,1,1
Senator in General Assembly District 2 (29574),Providence,STATE SENATE,2,1
Senator in General Assembly District 3 (29577),Providence,STATE SENATE,3,1
Senator in General Assembly District 5 (29583),Providence,STATE SENATE,5,1
Senator in General Assembly District 6 (29586),Providence,STATE SENATE,6,1
Chariho School Committee TOWN OF RICHMOND (30598),Richmond,REGIONAL SCHOOL COMMITTEE,,2
Town Council TOWN OF RICHMOND (30591),Richmond,TOWN COUNCIL,,5
"2. Constitution of the State of Rhode Island & Providence PlantationsArticle XIII, Section 7 TOWN OF SCITUATE",Scituate,TOWN PROPOSITION 2,,1
Board Of Assessment Review TOWN OF SCITUATE (30630),Scituate,BOARD OF ASSESSMENT REVIEW,,1
Director Of Public Welfare TOWN OF SCITUATE (30627),Scituate,DIRECTOR OF PUBLIC WELFARE,,1
School Committee TOWN OF SCITUATE (30605),Scituate,SCHOOL COMMITTEE,,2
Town Clerk TOWN OF SCITUATE (30602),Scituate,TOWN CLERK,,1
Town Council TOWN OF SCITUATE (30618),Scituate,TOWN COUNCIL,,7
Town Moderator TOWN OF SCITUATE (30615),Scituate,TOWN MODERATOR,,1
Town Sergeant TOWN OF SCITUATE (30612),Scituate,TOWN SERGEANT,,1
Town Treasurer TOWN OF SCITUATE (30609),Scituate,TOWN TREASURER,,1
10. PLANNING BOARD TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 10,,1
11. PLANNING BOARD TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 11,,1
12. SMITHFIELD EMERGENCY MANAGEMENT AGENCY TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 12,,1
13. PARKS AND RECREATION TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 13,,1
14. LAND TRUST TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 14,,1
15. TOWN ENGINEER TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 15,,1
16. MANAGEMENT INTERNAL CONTROL PROGRAM TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 16,,1
17. FINANCIAL PROCEDURES TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 17,,1
18. CAPITAL PROGRAM TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 18,,1
19. FINANCIAL PROCEDURES TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 19,,1
2. TOWN COUNCIL TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 2,,1
20. OTHER POST-EMPLOYMENT BENEFITS TRUST FUND TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 20,,1
"21. SCHOOL COMMITTEE - VACANCIES, FORFEITURE OF OFFICE, FILLING OF VACANCIES TOWN OF SMITHFIELD",Smithfield,TOWN PROPOSITION 21,,1
"3. VACANCIES, FORFEITURE OF OFFICE, FILLING OF VACANCIES TOWN OF SMITHFIELD",Smithfield,TOWN PROPOSITION 3,,1
4. FINANCE DEPARTMENT TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 4,,1
5. FINANCE DEPARTMENT TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 5,,1
6. FINANCE DEPARTMENT TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 6,,1
7. FIRE DEPARTMENT TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 7,,1
8. TOWN SOLICITOR TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 8,,1
9. DIRECTOR OF HUMAN SERVICES TOWN OF SMITHFIELD,Smithfield,TOWN PROPOSITION 9,,1
School Committee TOWN OF SMITHFIELD (30641),Smithfield,SCHOOL COMMITTEE,,2
Town Council TOWN OF SMITHFIELD (30634),Smithfield,TOWN COUNCIL,,5
"2. FINANCE CAPITAL IMPROVEMENT PROJECTS INCLUDING MUNICIPAL TRANSPORTATION SAFETY AND ROAD IMPROVEMENTS, PUBLIC SAFETY INFRASTRUCTURE IMPROVEMENTS AND OTHER MUNICIPAL PROJECTS TOWN OF SOUTH KINGSTOWN",South Kingstown,TOWN PROPOSITION 2,,1
Representative inGeneral Assembly District 35 (29787),South Kingstown,STATE HOUSE,35,1
School Committee TOWN OF SOUTH KINGSTOWN (30652),South Kingstown,SCHOOL COMMITTEE,,4
Town Council TOWN OF SOUTH KINGSTOWN (30645),South Kingstown,TOWN COUNCIL,,5
1. AMENDMENT TO THE CONSTITUTION OF THE STATE(CHANGING THE OFFICIAL NAME OF THE STATE),statewide,PROPOSITION 1,STATEWIDE,1
Presidential Electors For: (29562),statewide,US PRESIDENT,STATEWIDE,1
Senator in Congress,statewide,US SENATE,STATEWIDE,1
Judge Of Probate TOWN OF TIVERTON (30673),Tiverton,JUDGE OF PROBATE,,1
Non-Partisan Budget Committee TOWN OF TIVERTON (30682),Tiverton,BUDGET COMMITTEE,,5
Non-Partisan School Committee TOWN OF TIVERTON (30676),Tiverton,SCHOOL COMMITTEE,,3
Non-Partisan Town Clerk TOWN OF TIVERTON (30667),Tiverton,TOWN CLERK,,1
Non-Partisan Town Council TOWN OF TIVERTON (30658),Tiverton,TOWN COUNCIL,,7
Non-PartisanTreasurer TOWN OF TIVERTON (30670),Tiverton,TREASURER,,1
Town Sergeant TOWN OF TIVERTON (30690),Tiverton,TOWN SERGEANT,,1
Non-Partisan Bristol/Warren Regional School Committee TOWN OF WARREN (30703),Warren,REGIONAL SCHOOL COMMITTEE,,2
Non-Partisan Charter Review Commission TOWN OF WARREN (30707),Warren,CHARTER REVIEW COMMISSION,,9
Town Council TOWN OF WARREN (30693),Warren,TOWN COUNCIL,,2
"2. SCHOOLS AND SCHOOL FACILITIES $56,000,000 BONDS AND NOTES CITY OF WARWICK",Warwick,TOWN PROPOSITION 2,,1
Council Warwick Ward 1 (30712),Warwick,CITY COUNCIL,WARD 1,1
Council Warwick Ward 2 (30715),Warwick,CITY COUNCIL,WARD 2,1
Council Warwick Ward 3 (30718),Warwick,CITY COUNCIL,WARD 3,1
Council Warwick Ward 4 (30721),Warwick,CITY COUNCIL,WARD 4,1
Council Warwick Ward 5 (30724),Warwick,CITY COUNCIL,WARD 5,1
Council Warwick Ward 6 (30727),Warwick,CITY COUNCIL,WARD 6,1
Council Warwick Ward 7 (30730),Warwick,CITY COUNCIL,WARD 7,1
Council Warwick Ward 8 (30733),Warwick,CITY COUNCIL,WARD 8,1
Council Warwick Ward 9 (30736),Warwick,CITY COUNCIL,WARD 9,1
Mayor CITY OF WARWICK (30709),Warwick,MAYOR,,1
Non-Partisan School Committee At-Large CITY OF WARWICK (30739),Warwick,SCHOOL COMMITTEE,,2
Representative in General Assembly District 21 (29745),Warwick,STATE HOUSE,21,1
Representative in General Assembly District 22 (29748),Warwick,STATE HOUSE,22,1
Representative in General Assembly District 23 (29751),Warwick,STATE HOUSE,23,1
Representative in General Assembly District 24 (29754),Warwick,STATE HOUSE,24,1
Senator in General Assembly District 29 (29655),Warwick,STATE SENATE,29,1
Senator in General Assembly District 30 (29658),Warwick,STATE SENATE,30,1
Senator in General Assembly District 31 (29661),Warwick,STATE SENATE,31,1
School Committee TOWN OF WEST GREENWICH (30771),West Greenwich,SCHOOL COMMITTEE,,1
Town Council TOWN OF WEST GREENWICH (30764),West Greenwich,TOWN COUNCIL,,5
Town Moderator TOWN OF WEST GREENWICH (30774),West Greenwich,TOWN MODERATOR,,1
Town Sergeant TOWN OF WEST GREENWICH (30777),West Greenwich,TOWN SERGEANT,,1
School CommitteeWard 4 West Warwick Ward 4 (30799),West Warwick,SCHOOL COMMITTEE,WARD 4,1
School CommitteeWard 5 West Warwick Ward 5 (30802),West Warwick,SCHOOL COMMITTEE,WARD 5,1
Senator in General Assembly District 9 (29595),West Warwick,STATE SENATE,9,1
Town CouncilWard 4 West Warwick Ward 4 (30789),West Warwick,TOWN COUNCIL,WARD 4,1
Town CouncilWard 5 West Warwick Ward 5 (30792),West Warwick,TOWN COUNCIL,WARD 5,1
"2. WINNAPAUG POND AQUATIC ECOSYSTEM RESTORATION PROJECT $1,000,000 BONDS AND NOTES TOWN OF WESTERLY",Westerly,TOWN PROPOSITION 2,,1
"3. WASTEWATER TREATMENT FACILITIES $1,550,000 BONDS AND NOTES TOWN OF WESTERLY",Westerly,TOWN PROPOSITION 3,,1
4. AMENDMENT TO THE WESTERLY TOWN CHARTER RE: DIRECTOR OF PUBLIC WORKS TOWN OF WESTERLY,Westerly,TOWN PROPOSITION 4,,1
Representative in General Assembly District 37 (29793),Westerly,STATE HOUSE,37,1
School Committee TOWN OF WESTERLY (30758),Westerly,SCHOOL COMMITTEE,,5
Town Council TOWN OF WESTERLY (30749),Westerly,TOWN COUNCIL,,7
Non-Partisan City Council CITY OF WOONSOCKET (30810),Woonsocket,CITY COUNCIL,,7
Non-Partisan Mayor CITY OF WOONSOCKET (30805),Woonsocket,MAYOR,,1
Non-Partisan School Committee CITY OF WOONSOCKET (30808),Woonsocket,SCHOOL COMMITTEE,,5
Representative in General Assembly District 49 (29829),Woonsocket,STATE HOUSE,49,1
Representative in General Assembly District 50 (29832),Woonsocket,STATE HOUSE,50,1
